title,neg_pct
Barack Obama won’t promise to remain silent about President Trump.,1.0
"Ben Carson’s HUD, Planning Cuts, Spends $31,000 on Dining Set for His Office",1.0
Betsy DeVos Confirmed as Education Secretary; Pence Breaks Tie,1.0
Betsy DeVos appears to have plagiarized quotes for her Senate questionnaire,1.0
Biden: McConnell stopped Obama from calling out Russians,1.0
Billy Baldwin says Trump was ‘insecure’ about him spending time with Marla Maples,1.0
Boy Scouts 'Unaware' of Call Trump Said He Received From Organization Praising Jamboree Speech,1.0
"Breitbart News, Donald Trump’s Pravda, Is in Crisis",1.0
Breitbart's Bannon declares war on the GOP,1.0
Brennan: Trump called us hacks to delegitimize intelligence report,1.0
CIA: Putin personally ordered cyber campaign to help get Trump elected,1.0
"CNN Poll: Trump approval slides, matches lowest point of presidency",1.0
CNN anchor: 'Zero chance' journalists will 'move on' from Flynn scandal,1.0
CNN’s Acosta fires back at Trump after insult: ‘If only he were this tough on Duterte’,1.0
CNN’s Tapper Cuts Off WH Aide: ‘I’ve Wasted Enough Of My Viewers’ Time’,1.0
Calls grow for Bernie Sanders to run for president in 2020 after Donald Trump victory,1.0
Campaign to Impeach Trump Gains Ground,1.0
Cards Against Humanity buys plot of land on U.S./Mexico border to block border wall,1.0
Celebrity politicians are a sign of our political decline,1.0
Charlottesville mayor on Trump: 'Look at the campaign he ran',1.0
Christie signs bump stock ban just before leaving office,1.0
Cities Across the U.S. Join Movement to Impeach President Trump For Violating the Constitution,1.0
Clapper notes 'curious pattern' of Russian deaths,1.0
"Clarence Thomas Sexually Harassed Me. Yes, He Should Be Impeached.",1.0
Clinton has 90 percent chance of winning: Reuters/Ipsos States of the Nation.,1.0
Clinton: Fox News seems to think I live in the White House,1.0
Comedian Tom Arnold claims to have infamous unreleased Donald Trump outtakes,0.0
Comey Memo Says Trump Asked Him to End Flynn Investigation,1.0
"Comey willing to testify, but only in public: report",1.0
Comey: I hope 2018 brings more ethical leadership,1.0
Comey’s testimony humiliates Trump,1.0
Congressman: Rarely used law could make Trump tax returns public,1.0
"Conservatism turned toxic: Donald Trump’s fanbase has no actual ideology, just a nihilistic hatred of liberals",1.0
Conservatives urge Trump to grant pardons in Russia probe,1.0
Conway to CNN's Cuomo: Trump is not sheltering Russia 'and don’t you say that again',1.0
Cris Collinsworth: Trump should apologize to NFL players,0.0
Cuba Is Trump’s Most Revealing Foreign-Policy Blunder,1.0
Cuomo says New York will reopen Statue of Liberty despite shutdown,0.0
Degeneration nation: It takes a village of idiots to raise a kakistocracy like Donald Trump’s,1.0
"Delta ends NRA partnership and orders gun group to remove airline's information from website, amid growing backlash",1.0
Dem lawmaker to introduce 'Stable Genius Act' requiring presidential candidates to take mental exam,1.0
Dem rep: No one undermining Trump presidency more than Trump,1.0
Democrat: Reorganization at FBI part of ‘larger Republican effort to undercut Mueller’,1.0
Democrats Have the Votes to Filibuster Gorsuch Nomination,1.0
Democrats call for halt to GOP tax bill until Jones is seated in the Senate,1.0
Democrats grab key Wisconsin Senate seat in Tuesday's special elections,1.0
Dems read Trump Jr.'s emails on House floor,1.0
Dems rip GOP over handwritten changes to tax plan,0.0
"Despite Denials, Russians Were in Contact with Trump Campaign",1.0
Devin Nunes is under mounting pressure to release the transcript of a House Intel interview with Fusion GPS,1.0
Devin Nunes just told Fox &amp; Friends that Trump never met George Papadopoulos. Here's a picture of them together.,1.0
Devin Nunes' media site down after reported 'attack' on server,1.0
Diplomats couldn't hide their anger at Donald Trump's UN speech,1.0
Diplomats laughing at Trump over leaked Mexico transcript,1.0
Disbelief As Spicer Blames Obama For Not Showing More Concern About Flynn,1.0
Discussion Megathread 2: Alabama Senate Special Election,1.0
Discussion Megathread: Alabama Senate Special Election,0.5
Discussion Megathread: FBI Director Comey Testifies Before House Select Intelligence Committee,1.0
Discussion Megathread: Former AG Sally Yates Testifies Before Subcommittee on Crime and Terrorism,1.0
Discussion Megathread: James Comey Testifies before Senate Intelligence Committee,1.0
Discussion Megathread: Jeff Sessions Testifies before Senate Intelligence Committee,1.0
"Discussion Megathread: Senate Debates Funding Bill; President, Senator Schumer Meet to Avert Shutdown",1.0
"Discussion Megathread: Senate Intel hearing with NSA, DNI, FBI, DOJ on Trump-Russia investigation",1.0
Discussion Thread: 2018 State of the Union Address,0.5
Discussion Thread: 2018 State of the Union Address - Post,1.0
"Discussion Thread: Final Vote Approaches on Republican Tax Reform Bill, GOP Leadership Says They Have Votes to Pass (Dec 1st, 2017)",1.0
Discussion Thread: GA-06 and SC-05 Special Elections,1.0
Discussion Thread: Special Counsel Mueller files first charges,0.5
"Donald Trump 'has been screaming at the television about Russia links investigation', says White House adviser",1.0
Donald Trump 'tells Japanese emperor mass shootings can happen anywhere' — in country with no mass shootings,1.0
"Donald Trump Hangs Up On Australia, Threatens to Invade Mexico",1.0
Donald Trump Jr. Is an Idiot of Towering Proportions,1.0
Donald Trump Jr. Just Liked a Tweet Blaming the Florida Shooting on the Russia investigation,1.0
Donald Trump Just Asked Congress to End the Rule of Law,1.0
Donald Trump Keeps Praising Authoritarian Goons Because He Doesn't Know What Leaders Do,1.0
Donald Trump Threatens to Sabotage Obamacare,1.0
Donald Trump admits he backed down on Nafta after calls from Canada and Mexico's leaders,1.0
Donald Trump and Family Seem Upset They Can't Make Money Off White House,1.0
Donald Trump appears to misunderstand basic facts of climate change in Piers Morgan interview,1.0
Donald Trump back on the golf course for the 14th time in 10 weeks,1.0
Donald Trump blamed for massive spike in Islamophobic hate crime,1.0
"Donald Trump booed at Davos after attacking 'nasty, mean, fake' press",1.0
"Donald Trump claims Barack Obama ordered 'wire tap' on Trump Tower, but provides no evidence",1.0
Donald Trump criticises mayor of Puerto Rican capital for 'poor leadership',1.0
Donald Trump denies reaching DACA agreement made to protect Dreamer children,1.0
Donald Trump federal judge nominee is asked basic legal questions and can’t answer a single one,0.5
Donald Trump is never going to release his taxes,1.0
Donald Trump launches attack on news networks 'not including Fox' for 'corrupt' presidential reporting,0.0
Donald Trump not in Situation Room for 'botched' Yemen raid that killed up to 30 civilians and one US Navy SEAL,1.0
Donald Trump picks son's wedding planner to run New York federal housing program.,1.0
"Donald Trump replaces military chief on National Security Council with ex boss of far-right website - The highest ranking military officer will no longer be a permanent member of the council, but ex Breitbart CEO Steve Bannon will",1.0
Donald Trump says 'see you in court' after federal judge blocks his sanctuary cities executive order,0.0
Donald Trump says US is becoming a 'one party system',1.0
Donald Trump threatens 'political reprisal' against rebel Republican Electoral College voters,1.0
Donald Trump threatens to isolate Alaska after Republican senator votes against Obamacare repeal bill,0.0
Donald Trump threatens to shut down NBC and other TV news networks that criticise him,1.0
Donald Trump to be blocked from easing Russia sanctions after US Congress agrees legislation,0.0
Donald Trump tweets 'Pocahontas' racist slur about senator Elizabeth Warren,1.0
"Donald Trump won the election, and we don’t know whether he colluded — but he’s not a legitimate president",1.0
Donald Trump's State Department approves Saudi Arabia weapons sales blocked by Barack Obama,1.0
Donald Trump's state visit to Britain put on hold,0.0
Donald Trump's war on media is 'biggest threat to democracy' says Navy Seal who brought down Osama Bin Laden,1.0
"Donald Trump: I may not repeal Obamacare, President-elect says in major U-turn",0.0
Donald Trump’s Inaugural Committee Still Won’t Say What It’s Doing With Its Leftover Money,0.0
Donald Trump’s Mar-a-Lago trips cost taxpayers estimated $20m in 100 days — Obama’s cost $97m in 8 years,1.0
"Donald Trump’s approval rating falls to record low, finds Gallup poll",1.0
"Dow Chemical Donates $1 Million to Trump, Asks Administration to Ignore Pesticide Study",1.0
Durbin calls on White House to release tapes of Trump's remarks about African countries,1.0
EU Will Ignore White House And Work Directly With US States On Paris Agreement,0.0
Email from 2007 ties Trump adviser Stephen Miller to neo-Nazi Richard Spencer,1.0
Eminem rips Donald Trump in blistering freestyle rap during BET Hip Hop Awards,1.0
Emmanuel Macron says Donald Trump is like Presidents of Russia and Turkey,1.0
Energy experts give Trump the hard truth: You can’t bring coal back,1.0
Enraged Dad to GOP Lawmaker: 'You've Been Single Greatest Threat to My Family',0.0
Eric Trump: Dems 'not even people',1.0
Ex-CIA chief: Trump responsible if U.S. attacked while he skips intel briefings,1.0
Ex-CIA chief: Trump’s Boy Scout speech felt like ‘third world authoritarian's youth rally’,1.0
Ex-ethics chief rips Trump as 'wannabe autocrat' for sharing image 'depicting CNN's blood on the sole of his shoe',1.0
Ex-wife of Rob Porter fires back at White House amid abuse scandal,1.0
"FBI Director Must Be Prepared to Resign Over Nunes Memo, Ex-Agents Warn",1.0
FBI conducted predawn raid of former Trump campaign chairman Manafort's home,0.0
Family Of Murdered DNC Staffer Tells Investigator To Stop Spreading Lies,1.0
Federal court finds Texas gerrymandered maps on racial lines,1.0
Final GOP tax bill repeals ObamaCare mandate,1.0
"Fine, Trump Doesn’t Have Dementia. He’s Just a Moron.",1.0
First charges filed in Mueller investigation,1.0
First on CNN: Senators asked Comey to investigate AG Jeff Sessions for possible perjury,1.0
Florida student brands Trump a 'piece of s***' for reaction to school shooting,1.0
"Flynn's Secret Text Messages Show Trump Colluded With Russia, Experts Say",1.0
"Following news of Mueller charges, White House desperately tries to shift focus to Clinton",1.0
Forget what they say — House Democrats are readying for impeachment,0.0
Former Apprentice contestant subpoenas Trump campaign for documents on assault claims,0.0
Former CIA Chief Leon Panetta Thinks Trump's Decision to Release the Memo Provokes a Constitutional Crisis,1.0
Former D.C. schools chief takes on DeVos: ‘Sorry lady … this is so amateur and unprofessional’,1.0
Former Obama Intelligence Official: Russian Hack 'the Political Equivalent of 9/11',1.0
Fox Business host declares war on Trump’s tax plan: “I’m disgusted with our government right now”,0.0
Fox News Was Attacking Barack Obama For Using Dijon Mustard At This Point In His Presidency,1.0
Fox News host Sean Hannity dismisses Roy Moore's sexual misconduct allegations by saying it was 'consensual',1.0
Fox News interrupts coverage of Trump bragging about the economy to cover historic stock market drop,1.0
Fox News is pretending that the White House domestic violence scandal doesn’t exist,1.0
Fox News under federal investigation over Ailes settlement payments,1.0
"Fox News: New York Times boycotted Obama surveillance story. Fox News: Oops, maybe not.",0.0
Franken: 'We don't know what the Russians have on Donald Trump',1.0
Frederica Wilson fires back at Trump: 'I have proof too. This man is a sick man',1.0
"From Hillary Clinton and Kamala Harris to 10,000 teenage girls: 'Speak up'",0.0
"Full-blown scandal: Trump Cabinet charged taxpayers at least $1,070,594.19 for luxury travel",1.0
Furious Trump 'went ballistic at Priebus and Bannon because Sessions' recused himself - then stormed out the Oval Office and flew to Florida on Air Force One without them,0.0
GOP in crisis over Trump Jr.-Russia email revelation,1.0
GOP lawmaker asks Capitol Police to arrest 'Dreamers' at State of the Union,1.0
GOP panics as signs point to imminent Mueller blockbuster,1.0
GOP rep: ‘Bullcrap’ to say taxpayers pay my salary,1.0
GOP rep: ‘Nobody dies because they don’t have access to healthcare’,1.0
GOP senator: No tax cuts for working people because they blow them on “booze or women”,1.0
GOP senators: DACA bill to get vote by Feb. 8,1.0
GOP tax bill would add $1.7 trillion to debt: CBO,1.0
"GOP went all in for pedophilia, and they can never undo it",1.0
GOP-led Science Committee Sends Twitter Followers To Breitbart For Climate Misinformation,0.0
Georgia special election: Jon Ossoff eyes runoff after narrowly missing outright win,0.0
Gergen: Trump speech was 'most divisive' I've ever heard from a president,1.0
"Gillibrand: If Trump wants due process, we'll have hearings on allegations against him",1.0
Gingrich just admitted Trump was being dishonest about White House tapes — because nothing matters,1.0
Golden State Warriors to swap visit to the White House for trip to African-American History museum,1.0
Graham: Trump-Russia investigation is now a 'criminal investigation',1.0
Gun owners are outraged by the Philando Castile case. The NRA is silent.,1.0
"Gunman opens fire on GOP congressional baseball practice in Alexandria, Va., injuring Rep. Steve Scalise and others",1.0
Here's Video of Marco Rubio Running Away From a Protester Today in Miami,1.0
Here’s the public evidence that supports the idea that Russia interfered in the 2016 election,1.0
"High school reading list that includes \"Liberalism is a Mental Disorder\" draws sharp protest from outraged Alabama student.",1.0
"Hillary Clinton Attacked Donald Trump, So Fox News Mocked Her For Coughing",0.0
Hillary Clinton slams Trump admin. over private emails: 'Height of hypocrisy',1.0
Hillary Clinton's Final Campaign Ad: 'Tomorrow',1.0
Historic Democrat Wave Wiping Out Virginia GOP,0.0
History Will Remember These 217 House Republicans for Their Inhumanity,1.0
Hope Hicks to Resign as White House Communications Director,1.0
House Democrats want to know why a major Russian money laundering case was abruptly 'dismissed',1.0
House Republican blames Trump for healthcare failure: He ‘never laid out a plan’,1.0
"House delays Obamacare vote, denying Trump 100-day win",1.0
"How 29-year-old Hope Hicks, Trump's 'real daughter,' became the youngest White House communications director in history — now ensnared in its biggest scandals",1.0
How did paedophilia become part of Trump voters' war on the establishment?,1.0
Hundreds boo President Trump's motorcade in Washington DC,1.0
I Came to America When I Was Three. What Am I Supposed to Do in Mexico?,1.0
I am an Arctic researcher. Donald Trump is deleting my citations,1.0
I was a Republican until Donald Trump hijacked my party,1.0
I'm Roger Stone - Political Insider and Longtime Trump Advisor - Ask Me Anything,1.0
"If Obama threatened to take Fox News off the air people would march \"with torches in the street,\" says Jake Tapper",0.5
"If Trump Fires Mueller, We Must Impeach",1.0
"If you voted for Trump because he’s ‘anti-establishment,’ guess what: You got conned",1.0
"In Case It Wasn't Clear Yet, Steve Bannon Is Our President",1.0
"In Leaked Chats, WikiLeaks Discusses Preference for GOP Over Clinton, Russia, Trolling, and Feminists They Don’t Like",1.0
"In closing argument, Donald Trump wrongly says he outdraws Beyonce, Jay Z",1.0
"In the dead of night, Republicans vote to give lawsuit immunity to banks",1.0
Indian diplomat likens Ivanka Trump to 'half-wit Saudi prince' ahead of summit where she will lead US delegation,1.0
Is the U.S. going to let Erdogan’s goons get away with beating up protesters?,1.0
It looks like House Democrats just won a big victory in the Trump-Russia investigation,0.0
"It's your plan, Mr. Trump — Speaker Ryan says president co-wrote embattled Obamacare replacement",1.0
Ivanka Trump leads meeting at White House in father's absence,1.0
Ivanka Trump praises Saudi Arabia on women's rights after country donates $100 million to her cause,1.0
Ivanka Trump was importing 50 tonnes of Chinese clothing as her father was saying 'buy American,0.0
I’ve Studied the Trump-Fox Feedback Loop for Months. It’s Crazier Than You Think.,1.0
James Comey Senate testimony: America braces for a historic political moment,1.0
James Comey Subtweets Manafort Using Quote From His Favorite Theologian,1.0
"Jared Kushner didn't disclose business ties to George Soros, Peter Thiel, and Goldman Sachs, or that he owes $1 billion in loans",1.0
"Jared Kushner didn’t disclose his business ties with George Soros, Peter Thiel, and Goldman Sachs or that he owes $1 billion in loans",1.0
Jeff Sessions Testifies Before House Judiciary Committee,1.0
Jeff Sessions admits crime is near historic lows despite his past warnings,1.0
Jeff Sessions: 'Not enough evidence' for special counsel to investigate Hillary Clinton,0.0
Jill Stein looped into widening investigation of Russia and Trump Jr. connections,1.0
Jimmy Kimmel Urges Defeat of GOP Health Bill for 3rd Straight Night,1.0
Jimmy Kimmel continues war against GOP senator over health care bill,1.0
Joe Scarborough announces he is leaving Republican Party,0.0
John McCain Caps Political Career by Declaring Himself a Fraud,1.0
John McCain mocks Donald Trump’s deferment ‘bone spurs’ (without naming him),1.0
Karl Rove: WH staff has been leaking info on each other for weeks,1.0
Kasich: GOP needs to admit that some people need help paying for healthcare,1.0
Kellyanne Conway: Russia is 'not a big story',1.0
"LeBron James blasts 'bum' Donald Trump, says White House visit an honor 'until you showed up'",1.0
Leaked Chats Show Charlottesville Marchers Were Planning for Violence,1.0
Leaked audio: Republican senator in key race joked about Hillary Clinton being shot,1.0
Leaked tape reveals Trump invited club guests to 'come along' during cabinet interviews,1.0
Legal marijuana sales in US 'bigger than dot-com boom',1.0
Lemon: Trump speech 'total eclipse of the facts',0.0
Liberal voters warn Democratic officials: resist Trump or be replaced,1.0
MSNBC host: 'No takers' after 217 GOPers invited to explain health vote,1.0
Maddow: Pence story on Flynn impossible to believe,1.0
Maine secretary of state asks court to secure documents of Trump’s now-defunct voter fraud commission,1.0
Major Fake News Operation Tracked Back to Republican Operative,1.0
"Man arrested, accused of threatening to kill CNN employees",1.0
Manafort Notes From Russian Meet Contain Cryptic Reference to ‘Donations’,1.0
Marijuana Is Officially Legal In Nevada,1.0
McCain Returns to Washington to Cast a Vote to Help the President Who Derided Him,1.0
McCain confirms he sent Trump allegations to FBI,0.0
"McCain is getting the credit, but these women are the ones who really saved Obamacare",1.0
McCain says American leadership was better under Obama,1.0
McCain: 'We have to understand that the climate may be changing',1.0
McCain: Nothing 'America First' about believing Putin on election meddling,1.0
McCain: Trump’s attacks on press are 'how dictators get started',1.0
McMullin: I've gotten death threats from Trump backers,1.0
Megathread - Report: Bannon Is Subpoenaed in Mueller’s Russia Investigation,1.0
Megathread 2: Michael Flynn testifies in plea that he was directed to make contact with Russia by senior Trump transition team officials,0.6666666666666666
Megathread Discussion: Senate Votes on Obamacare Repeal Bill,0.5
Megathread: AP Calls Alabama Senate Special Election for Democrat Doug Jones,0.8333333333333334
Megathread: F.B.I. Deputy Director Andrew McCabe Steps Down,1.0
Megathread: FBI Director Comey fired,0.8888888888888888
Megathread: Federal Court overturns President Trump's executive order regarding immigration,1.0
Megathread: Flynn offers to testify for immunity deal.,1.0
Megathread: Government Shutdown Begins After Senate Fails to Pass Spending Bill Before Midnight Deadline,0.5
Megathread: House Intelligence Committee votes to release classified memo,1.0
"Megathread: Michael Flynn Offers to Testify For Immunity, Senate Intelligence Committee Responds (Thread 2)",1.0
Megathread: Michael Flynn resigns as National Security Advisor,1.0
Megathread: Mueller Impanels a Grand Jury,0.8333333333333334
Megathread: NFL Players kneel during Anthem in response to President Trump's remarks,1.0
Megathread: Office of Special Counsel Indicts 13 Russian Nationals and 3 Russian Entities for Interference in 2016 Election,1.0
Megathread: President Trump Pardons Former Sheriff Joe Arpaio,1.0
Megathread: President Trump delivers remarks on Charlottesville during Press Conference,1.0
Megathread: President Trump fires Acting Attorney General Yates; Replaces with Dana Boente,1.0
"Megathread: President Trump names John Kelly as White House Chief of Staff, replacing Reince Priebus",0.0
Megathread: President Trump signs new executive order immigration ban,1.0
Megathread: Release of James Comey's opening testimony,0.5
Megathread: Reports: Michael Flynn To Plead Guilty To Making False Statements To FBI,1.0
Megathread: Sally Yates allegedly blocked from testifying,0.5
Megathread: Sean Spicer WWII gaffe,1.0
Megathread: Trump Administration Blocks Release of Democrat Memo on Russa Probe,1.0
Megathread: Trump Administration Declines to Enact New Russia Sanctions,0.8333333333333334
Megathread: Trump dismisses Anthony Scaramucci as White House Communications Director,1.0
Megathread: Trump tweets defense of classified information sharing with Russia,1.0
Megathread: White House releases controversial memo on allegations of intelligence abuse,1.0
Melania Trump arrives in Saudi Arabia without headscarf - two years after Donald criticised Michelle Obama for showing her hair,1.0
Melania and Barron Trump 'WON'T move to the White House so he can finish school in NYC' - threatening years of nightmarish traffic and security checks for shoppers near Trump Tower,1.0
Mensa offers to host IQ test for Trump and Tillerson,1.0
Merkel Says It Was Six to One Against Trump on Climate Change,1.0
Michael Moore says he’s going to frack off coast near Mar-a-Lago,1.0
"Mike Pence Up To His Neck In Russia Scandal, Losing Press Secretary | Rachel Maddow | MSNBC",1.0
Mike Pence: Lying or incompetent on Flynn,1.0
Mitch McConnell Should Be Driven Out of Office for Being a Chump Who Let Russia Humiliate America,0.0
Mitch McConnell ignoring cabinet confirmation procedure he demanded in 2009,1.0
"Mitch McConnell, the man who broke America",1.0
Monica Lewinsky says Roger Ailes built Fox News empire on sensationalist coverage of Bill Clinton sex scandal,1.0
"More Americans support Trump's impeachment than oppose it for first time, poll finds",1.0
Most US voters trust the media to tell the truth more than President Trump,1.0
Movement to impeach Donald Trump well under way,1.0
Mueller Has Enough Evidence to Bring Charges in Flynn Investigation,1.0
Mueller Taps Foreign Bribery Lawyer For His Team Investigating Russian Collusion,1.0
Mueller is reportedly zeroing in on the Trump campaign's data operation — and the RNC,1.0
"Mueller obtains \"tens of thousands” of Trump transition emails",1.0
"Mueller's next move, the Steele dossier, and an NSA hack — the latest in a wild week of Trump-Russia developments",1.0
Muslim member of national security staff resigned after 8 days in Donald Trump's White House,0.0
NBA Champions Golden State unanimously decide they will not be visiting White House,1.0
NSA director frustrated Trump won't accept Russia interfered in election: report,1.0
NY AG Schneiderman Pretty Much Confirms That He Could Become Trump’s Biggest Nightmare,1.0
Navy SEAL who says he killed bin Laden: ‘A military parade is third world bulls---’,1.0
"Nazis Are Just Like You and Me, Except They're Nazis",1.0
"Nearly 100,000 New Yorkers sign petition to get rid of Melania Trump",1.0
New York County Introduces Law to Ban Conversion Therapy — and It's Called 'PENCE',1.0
No Evidence Linking Vegas Shooter to Antifa,1.0
"No, Obama not facing indictment for spying on Trump",0.0
Now we know why Republicans are attacking the FBI,1.0
Obama May Jump Into Fray as Democrats Counter Trump,1.0
Obama hosted Kelly at breakfast after son died,1.0
Obama says marijuana should be treated like ‘cigarettes or alcohol’,1.0
Obama supports protests: 'American values are at stake',1.0
Obama tells David Letterman: People no longer agree on what facts are,1.0
"Obama warns Trump: 'If you're not serious about the' presidency, 'you probably won't be there very long'",1.0
Obama's advice to Trump: 'Reality has a way of biting back',1.0
"Obama: if you were fine with big government until it served black people, rethink your biases",1.0
Obama’s subtle warning to working class Trump voters: You played yourself,1.0
Organizers behind armed white supremacist protest in Houston revealed as Russian,1.0
"Outraged a Democrat beat a pedophile, Alabama GOP votes to end special elections",1.0
O’Reilly told Trump that Putin is a killer. Trump’s reply: ‘You think our country is so innocent?’,1.0
Patriots player: 'No interest' in meeting Donald Trump after 'disgusting' comments,1.0
Paul Manafort reportedly being investigated for possible money laundering by US attorney's office in New York,1.0
Paul Manafort turns himself in to the FBI,1.0
Paul Ryan: Nunes’ source was ‘whistle blower-type person’,1.0
Pence denied request to help Carrier in 2014,1.0
Pence lies to troops about Trump’s failure to protect their pay during shutdown,1.0
Pence tweets support for gay US Olympian who trashed him: 'We are FOR YOU',0.0
"People crying, leaving Clinton headquarters - CNN Video",1.0
Pharma CEO worries Americans will say “Enough is Enough” and embrace Bernie Sanders' Single-Payer Plan,1.0
Phoenix mayor warns Trump not to hold campaign rally in searing op-ed,1.0
Plot to stop Mueller enters a new and dangerous phase,1.0
Podesta Hits Back At ‘Whack Job’ Trump Over Server Tweet: ‘Get A Grip Man’,1.0
Police arrest leaders of far-right group retweeted by Trump,1.0
PolitiFact: Trump's Russia claim is 'Lie of the Year',1.0
Poll: 4 in 10 back impeaching Trump,1.0
Poll: 40 Percent Now Support Trump Impeachment,1.0
Poll: 62 percent of Democrats and independents don't want Clinton to run again,0.0
Poll: 78 Percent think Russian investigation should be independent,1.0
Poll: Most Americans not getting bigger paychecks in wake of tax overhaul,0.0
Poll: Support for Trump impeachment rises,0.0
Pres. Trump's first negotiation was a humiliation,1.0
President Trump Now Says That Wasn’t Him on Access Hollywood Tape,1.0
President Trump Praised Australia's Universal Health Care Right After The House Repealed Obamacare,1.0
President Trump Spent Nearly One-Third of First Year in Office at Trump-Owned Properties,1.0
"President Trump admits his executive order is a ban and somewhere, his lawyers are crying",0.0
President Trump and Nikki Haley will cut funding to the U.N. after Jerusalem vote,1.0
President Trump is already calling his critics 'The enemies',1.0
President Trump is now directly implicated in trying to cover up the Russia scandal,1.0
President Trump leaves National Championship game,1.0
President Trump's Tantrum About a Judge Just Made Life Hell for His Supreme Court Nominee,1.0
Priebus: Trump Considering Amending or Abolishing 1st Amendment,1.0
Protesters get ready in case Trump fires Mueller,1.0
Puerto Rico’s utility cancels controversial $300 million contract with Montana firm hired to repair electrical grid,1.0
Putin: Trump did not bring up election meddling,1.0
Putin’s First Year in the White House,1.0
Questions arise about Trump win after officials say most Detroit voting machines were broken,1.0
Rep. Schiff: Nunes gave Trump ‘secretly altered’ version of classified memo,1.0
"Report projects ACA repeal would cost 137,000 Pennsylvania jobs and double state budget deficit",1.0
Report: Alabama Mall Banned Roy Moore in the ’80s for Pursuing Teens,1.0
Report: Donald Trump Jr. 'miserable',0.0
Report: FCC chair to push for complete repeal of net neutrality,0.0
Report: Steve Bannon Had to Be Reminded He Wasn’t the President Amidst Travel Ban Infighting,1.0
Report: Trump sons accused of selling access to father,1.0
Report: Trump was unfamiliar with the scope of the president's job when meeting Obama,1.0
Report: Trump's lawyer hand-delivered Michael Flynn a plan to lift sanctions on Russia,1.0
Republicans are trying to push a false choice between saving children’s health care or DREAMers,1.0
"Robert Mueller expands special counsel office, hires 13 lawyers",1.0
Robert Mueller’s Investigation Is Larger—and Further Along—Than You Think,1.0
"Robert Mueller’s Office Will Serve First Indictment Monday, Source Confirms",0.0
"Roy Moore's wife: Trump 'owes us a thank you,' 'you're not hearing too much about Russia'",1.0
Rudy Giuliani Confirms The FBI Leaked Information To The Trump Campaign,1.0
"Russian hired 1,000 people to create anti-Clinton 'fake news' in key US states during election, Trump-Russia hearings leader reveals",1.0
Russia’s Sanctioned Spy Chief Reportedly Met CIA Director in the U.S.,1.0
